Latitude ( ° ),Longitude ( ° ),Optimal Tilt ( ° ),Optimal Azimuth ( ° ),Fixed Tilt Radiation    (KW-hr/m^2/Year),Fixed Energy          (KW-hr/m^2/Year),Monthly Tilt Radiation         (KW-hr/m^2/Year),Monthly Energy (KW-hr/m^2/Year),% Difference,
29.25,72.75,29,0,1953.18851,308.587808,2053.357762,324.3703283,4.865586944,
29.75,66.25,31,0,2208.907467,361.1090001,2329.847957,380.7887165,5.1681459,
29.75,66.75,31,0,2208.907467,364.0238647,2329.847957,383.8625944,5.16818517,
29.75,67.25,31,0,2089.672236,340.4110757,2201.544437,358.563595,5.062566201,
29.75,67.75,31,0,2089.672236,336.1903266,2201.544437,354.1203495,5.063256845,
29.75,68.25,31,0,2128.343893,341.1775685,2241.312344,359.2409375,5.028204512,
29.75,68.75,31,0,2128.343893,343.2586941,2241.312344,361.4349509,5.028915077,
29.75,69.25,31,0,2073.430294,335.0547523,2182.799256,352.6779118,4.996955836,
29.75,69.75,31,0,2073.430294,333.1283558,2182.799256,350.6508331,4.997129813,
29.75,70.25,30,0,2003.58475,318.9964994,2109.068311,335.7446371,4.98835598,
29.75,70.75,31,0,2003.58475,316.301774,2109.068311,332.9079618,4.988221895,
29.75,71.25,31,0,2050.390806,323.7645446,2158.172793,340.7241332,4.977513173,
29.75,71.75,31,0,2050.390806,323.852344,2158.172793,340.8186072,4.978091821,
29.75,72.25,30,0,1961.587215,309.9908538,2061.702092,325.7624727,4.841447464,
29.75,72.75,30,0,1961.587215,310.1015545,2061.702092,325.8812301,4.842155385,
29.75,73.25,30,0,1949.89591,308.4142615,2047.684681,323.8331675,4.761373294,
30.25,66.75,32,0,2239.988466,369.2940778,2360.159997,389.0044718,5.066881072,
30.25,67.25,32,0,2183.938864,360.425529,2303.601178,380.0591728,5.165943945,
30.25,67.75,32,0,2183.938864,359.0571461,2303.601178,378.6185812,5.166528022,
30.25,68.25,32,0,2138.182193,350.306008,2255.823901,369.4698938,5.186859909,
30.25,68.75,32,0,2138.182193,348.8952631,2255.823901,367.9827185,5.187052114,
30.25,69.25,32,0,2083.115096,339.9907064,2198.287692,358.6914322,5.213597023,
30.25,69.75,32,0,2083.115096,338.046778,2198.287692,356.642306,5.214055568,
30.25,70.25,31,0,1988.168155,319.0092828,2093.56046,335.8379192,5.010939946,
30.25,70.75,31,0,1988.168155,315.248499,2093.56046,331.876542,5.010309849,
30.25,71.25,30,0,1969.985983,311.3580825,2071.3774,327.3166794,4.875583144,
30.25,71.75,30,0,1969.985983,311.4336605,2071.3774,327.3970724,4.875856631,
30.25,72.25,30,0,2008.768372,317.6335659,2112.036277,333.8950103,4.870226826,
30.25,72.75,30,0,2008.768372,317.7272119,2112.036277,333.9957119,4.870870933,
30.25,73.25,31,0,2003.884107,316.971125,2107.100842,333.2457137,4.883660305,
30.25,73.75,31,0,2003.884107,317.299274,2107.100842,333.5915263,4.883892742,
30.75,66.75,33,0,2251.456681,371.8551439,2370.689362,391.4454679,5.004611262,
30.75,67.25,33,0,2195.133778,365.5987423,2314.185287,385.3111547,5.115972419,
30.75,67.75,33,0,2195.133778,365.9237004,2314.185287,385.6550747,5.116326908,
30.75,68.25,33,0,2149.109664,356.6002402,2266.265405,375.9220584,5.139846877,
30.75,68.75,33,0,2149.109664,353.8473966,2266.265405,373.0209685,5.140078844,
30.75,69.25,33,0,2093.541091,343.9251198,2208.488333,362.7106148,5.179196368,
30.75,69.75,33,0,2093.541091,341.4581349,2208.488333,360.1113304,5.179841335,
30.75,70.25,32,0,1997.630266,321.7482292,2103.003111,338.6386601,4.98774444,
30.75,70.75,32,0,1997.630266,317.5440018,2103.003111,334.2097386,4.986610161,
30.75,71.25,31,0,1978.987475,313.2532226,2080.320587,329.2238929,4.851005862,
30.75,71.75,31,0,1978.987475,313.2998315,2080.320587,329.2741269,4.851366721,
30.75,72.25,31,0,2018.055232,319.485266,2121.221026,335.7497755,4.844235418,
30.75,72.75,31,0,2018.055232,319.5558152,2121.221026,335.8256838,4.844736245,
30.75,73.25,31,0,2013.159024,318.8298421,2116.144131,335.0787454,4.84927902,
30.75,73.75,31,0,2013.159024,319.144772,2116.144131,335.4099018,4.849329051,
30.75,74.25,33,0,2057.776417,326.8297991,2162.847212,343.4314399,4.834048068,
31.25,67.75,33,0,2223.039249,371.4798758,2342.947368,391.3882264,5.086599243,
31.25,68.25,33,0,2175.693424,362.5933528,2292.255075,381.9063778,5.05700511,
31.25,68.75,33,0,2175.693424,360.5635768,2292.255075,379.7707254,5.057564302,
31.25,69.25,33,0,2115.360588,348.884645,2229.205338,367.5490783,5.078079184,
31.25,69.75,33,0,2115.360588,346.0737717,2229.205338,364.5894782,5.078508184,
31.25,70.25,32,0,1969.056986,317.6626072,2070.370481,333.9303744,4.871604489,
31.25,70.75,32,0,1969.056986,312.9801786,2070.370481,329.0062335,4.871049032,
31.25,71.25,32,0,1995.958823,316.5238168,2097.654181,332.5699589,4.82489224,
31.25,71.75,32,0,1995.958823,316.5567002,2097.654181,332.6062749,4.825397433,
31.25,72.25,32,0,2019.203214,319.7717182,2120.66797,335.7862911,4.769275381,
31.25,72.75,32,0,2019.203214,319.8335476,2120.66797,335.8516865,4.76940851,
31.25,73.25,32,0,2029.593189,321.7539473,2133.352504,338.1477287,4.848112216,
31.25,73.75,32,0,2029.593189,322.0724664,2133.352504,338.4823902,4.848087893,
31.25,74.25,31,0,2149.681604,341.4194661,2266.551127,359.8947331,5.133519691,
31.75,68.25,34,0,2187.500744,366.1325422,2303.493467,385.4132868,5.002615419,
31.75,69.25,34,0,2126.669856,350.9345858,2240.100507,369.532121,5.032724927,
31.75,69.75,34,0,2126.669856,347.2369912,2240.100507,365.6384492,5.032692279,
31.75,70.25,33,0,1978.836925,318.7544183,2079.954821,334.9483172,4.834745546,
31.75,70.75,33,0,1978.836925,314.7733647,2079.954821,330.7617917,4.833819208,
31.75,71.25,33,0,2005.847,318.6351019,2107.325697,334.6733298,4.792203753,
31.75,71.75,33,0,2005.847,318.5675403,2107.325697,334.6053734,4.79305906,
31.75,72.25,32,0,2029.02628,321.7403343,2130.073866,337.6968152,4.725090705,
31.75,72.75,32,0,2029.02628,321.8405855,2130.073866,337.8012527,4.724869166,
31.75,73.25,32,0,2039.526894,323.8890028,2143.024749,340.2532925,4.809443456,
31.75,73.75,32,0,2039.526894,324.2679681,2143.024749,340.6499779,4.80904473,
31.75,74.25,32,0,2160.54565,343.7726968,2277.112025,362.2314838,5.095853856,
32.25,69.75,33,0,2187.744086,357.7022454,2306.586802,377.0446739,5.130009758,
32.25,70.25,33,0,2033.49632,328.136146,2138.872296,345.04888,4.901547289,
32.25,70.75,33,0,2033.49632,324.5100225,2138.872296,341.2331717,4.900798198,
32.25,71.25,33,0,2064.808738,328.3996212,2169.497539,344.9618733,4.801183381,
32.25,71.75,33,0,2064.808738,328.7625609,2169.497539,345.3455976,4.801867124,
32.25,72.25,32,0,2073.37845,330.1075314,2181.534322,347.2611731,4.939694665,
32.25,72.75,32,0,2073.37845,330.0666864,2181.534322,347.2165326,4.939236623,
32.25,73.25,32,0,2123.430984,337.9690474,2235.812997,355.7663636,5.002529182,
32.25,73.75,32,0,2123.430984,338.019612,2235.812997,355.8175645,5.001988163,
32.25,74.25,32,0,2172.896996,346.0584053,2291.170954,364.79382,5.135891465,
32.25,74.75,32,0,2172.896996,346.6504472,2291.170954,365.4198731,5.136399886,
32.25,75.25,33,0,2170.143931,347.966691,2288.711132,366.8714324,5.152960878,
32.75,69.75,34,0,2199.949637,363.2666782,2318.17325,382.6787738,5.072686799,
32.75,70.25,34,0,2044.359185,332.4535553,2149.399143,349.431908,4.85884442,
32.75,70.75,34,0,2044.359185,328.2385276,2149.399143,344.9979455,4.857831233,
32.75,71.25,34,0,2075.773467,331.7479967,2179.947117,348.3079639,4.754403825,
32.75,71.75,34,0,2075.773467,331.9900681,2179.947117,348.5628762,4.754610771,
32.75,72.25,33,0,2084.210118,333.4890499,2191.962024,350.6393648,4.89115502,
32.75,72.75,33,0,2084.210118,333.5727219,2191.962024,350.7261409,4.890829912,
32.75,73.25,33,0,2134.714763,341.3973704,2246.650492,359.1993817,4.956025039,
32.75,73.75,33,0,2134.714763,340.6595295,2246.650492,358.4238682,4.956237655,
32.75,74.25,33,0,2184.616722,349.7118851,2302.438917,368.4702447,5.090875027,
33.25,70.25,34,0,2118.245213,347.1297093,2234.267864,366.0622453,5.171944458,
33.25,70.75,34,0,2118.245213,343.0956449,2234.267864,361.8036734,5.170767966,
33.25,71.25,33,0,2062.795237,331.8980813,2172.82897,349.5218026,5.042238066,
33.25,71.75,33,0,2062.795237,330.6635844,2172.82897,348.221734,5.042232537,
33.25,72.25,33,0,2126.475587,340.6545794,2240.788032,358.8723325,5.076388308,
33.25,72.75,33,0,2126.475587,341.0878745,2240.788032,359.3280256,5.076183808,
33.25,73.25,33,0,2151.881987,345.6516609,2267.837857,364.1764016,5.086749339,
33.25,73.75,33,0,2151.881987,346.2807148,2267.837857,364.8438403,5.08796461,
33.75,70.25,34,0,2130.195766,353.152251,2245.761814,372.2230809,5.123494727,
33.75,70.75,34,0,2130.195766,349.2745824,2245.761814,368.1320075,5.122462799,
33.75,71.25,34,0,2074.16752,336.241545,2183.860355,353.9227807,4.995789116,
33.75,71.75,34,0,2074.16752,333.5365209,2183.860355,351.0733804,4.995211953,
33.75,72.25,34,0,2138.349616,342.8110604,2252.101891,360.9532875,5.026198045,
33.75,72.75,34,0,2138.349616,344.0271445,2252.101891,362.235068,5.026549088,
33.75,73.25,34,0,2164.012173,351.1020236,2279.377234,369.7218373,5.036168232,
33.75,73.75,34,0,2164.012173,355.0616622,2279.377234,373.8983512,5.03791711,
34.25,71.25,34,0,2156.675283,350.2899313,2272.508378,369.0184428,5.075223711,
34.25,71.75,34,0,2156.675283,347.6481809,2272.508378,366.2330918,5.074612693,
34.25,72.25,34,0,2188.52384,352.4798383,2305.607035,371.2598953,5.058466389,
34.25,72.75,34,0,2188.52384,355.0452334,2305.607035,373.9644331,5.05909066,
34.25,73.25,34,0,2089.772626,343.6341649,2198.946011,361.5315347,4.950431197,
34.25,73.75,34,0,2089.772626,349.2948972,2198.946011,367.4930071,4.951960876,
34.75,71.25,35,0,2169.407083,357.5002448,2284.457149,376.3792341,5.015948701,
34.75,71.75,35,0,2169.407083,355.7565689,2284.457149,374.5415405,5.015457429,
34.75,72.25,35,0,2201.451592,362.2988739,2317.741377,381.3676247,5.000096907,
34.75,72.75,35,0,2201.451592,365.458021,2317.741377,384.6973954,5.001170979,
34.75,73.25,34,0,2101.640913,353.5515917,2210.231439,371.7584514,4.897497171,
34.75,73.75,34,0,2101.640913,361.1901156,2210.231439,379.7976262,4.899322489,
34.75,74.25,34,0,1894.066377,326.6986073,1988.293826,342.9228407,4.731161518,
34.75,74.75,34,0,1894.066377,329.7606551,1988.293826,346.1387723,4.731662118,
34.75,75.25,35,0,1927.708683,338.4278738,2022.853725,355.0945484,4.69358785,
34.75,75.75,35,0,1927.708683,339.8766754,2022.853725,356.617468,4.694327702,
34.75,76.25,36,0,1946.587942,342.0393403,2042.524111,358.8412873,4.682278107,
35.25,71.75,33,0,1869.690268,315.1564711,1957.135334,329.9034492,4.470089077,
35.25,72.25,34,0,1944.501121,330.5997944,2038.76548,346.6055987,4.617872411,
35.25,72.75,34,0,1944.501121,332.391923,2038.76548,348.4858689,4.618249189,
35.25,73.25,33,0,1824.615458,312.3121598,1909.09997,326.7780872,4.426835198,
35.25,73.75,34,0,1824.615458,315.4628523,1909.09997,330.0805452,4.428523004,
35.25,74.25,34,0,1860.286234,322.2723156,1947.867585,337.4305679,4.492258176,
35.25,74.75,34,0,1860.286234,324.4977232,1947.867585,339.762117,4.492670928,
35.25,75.25,35,0,1829.723257,320.9316042,1913.333607,335.5916051,4.36840514,
35.25,75.75,35,0,1829.723257,322.0146935,1913.333607,336.7253277,4.36873409,
35.25,76.25,36,0,1862.821565,329.9212241,1947.818286,344.9482226,4.356305526,
35.25,76.75,36,0,1862.821565,335.475217,1947.818286,350.7580996,4.357100406,
35.75,71.75,34,0,1879.431544,325.9929467,1966.270916,341.0761307,4.422233802,
35.75,72.25,35,0,1955.306618,341.7399444,2048.883903,358.0878228,4.565326538,
35.75,72.75,35,0,1955.306618,342.5428701,2048.883903,358.9293877,4.565387558,
35.75,73.25,34,0,1834.118498,319.0693983,1918.116622,333.681537,4.379067181,
35.75,73.75,34,0,1834.118498,316.5706593,1918.116622,331.0711477,4.379870754,
35.75,74.25,35,0,1870.305161,322.6908434,1957.344009,337.6883698,4.441232717,
35.75,74.75,35,0,1870.305161,326.0323281,1957.344009,341.186968,4.441740564,
35.75,75.25,35,0,1839.468855,324.6608597,1922.516736,339.3064497,4.316331163,
35.75,75.75,35,0,1839.468855,328.3767186,1922.516736,343.1904476,4.316474748,
35.75,76.25,36,0,1873.206172,338.7697171,1957.496356,353.9927153,4.30037047,
36.25,71.75,36,0,2004.54507,353.8324363,2096.919724,370.1423297,4.406384271,
36.25,72.25,35,0,1928.413651,340.5188562,2014.883239,355.8094898,4.297421524,
36.25,72.75,36,0,1928.413651,340.4588416,2014.883239,355.7476023,4.297642657,
36.25,73.25,36,0,1891.870964,333.3142078,1977.290061,348.3553886,4.317768929,
36.25,73.75,36,0,1891.870964,330.6116571,1977.290061,345.5313994,4.317912156,
36.25,74.25,36,0,1827.28073,320.2144344,1907.598988,334.2785086,4.207292382,
36.25,74.75,36,0,1827.28073,323.0894728,1907.598988,337.2805096,4.207487942,
36.25,75.25,37,0,1810.569714,324.2509944,1889.446081,338.3530885,4.167863294,
36.25,75.75,37,0,1810.569714,327.4789192,1889.446081,341.7230499,4.168325989,
36.75,72.25,36,0,1939.557498,344.3022279,2025.099161,359.498864,4.227172229,
36.75,72.75,36,0,1939.557498,344.0865732,2025.099161,359.2760172,4.227792339,
36.75,73.25,37,0,1902.873927,337.8225566,1987.363656,352.8187213,4.250388045,
36.75,73.75,37,0,1902.873927,336.9223585,1987.363656,351.8787477,4.250438356,
36.75,74.25,37,0,1837.631477,326.9006247,1917.177273,341.0455515,4.147518329,
36.75,74.75,37,0,1837.631477,328.0927525,1917.177273,342.289719,4.147646176,
36.75,75.25,38,0,1821.021771,326.3621424,1899.044616,340.3212482,4.101743832,
